Campaign name,Campaign ID,Amount spent (GBP)
new - North London - Baldock - RL Baldock,23846262109940024,1167.08
new - North London - Oakwood - RL Samuel House,23846262585320024,1173.57
new - West Midlands - Lichfield - RLP Lichfield,23846262649940024,1166.12
new - West Midlands - Market Drayton - RLP Market Drayton,23846262704080024,1146.21
new - West Midlands - Rugby - RLP Rugby,23846263079640024,1157.03
new - North East - Settle - RL The Wickets,23846376154930024,1153.95
new - North West - Ainsdale - RL Charlotte Court,23846376580340024,1167.02
new - North West - Crosby - RL Grove Court,23846376735880024,1178.71
twl - East Midlands - Quorn - RL Mill Gardens,23846437179220024,578.64
twl-upw - East Midlands - Melton Mowbray - RL Pine Gardens,23846437282220024,607.2
fwl-coast - East Midlands - Hunstanton - RLP Eastland Grange,23846628584930024,559.72
swl - North London - St Albans - RLP Eleanor House,23842596305680024,1234.28
swl - North London - Chalfont St Peter - RLP Rutherford House,23842606703790024,1231.35
swl - North London - Chelmsford - RLP Miami House,23842661401140024,1195.67
swl - North London - Hertford - RLP Edward House,23842661423600024,1645.88
South East - Maidenhead - RLP Swift House,23842675721320024,1197.31
swl - Southern - Bude - RL Pen Morvah,23842689101120024,811.57
swl - Southern - Hanham - RLP Magpie Court,23842701920790024,1235.25
swl - South East - Chislehurst - RLP Shepheard's House,23842703949020024,682.32
swl - South East - Tunbridge Wells - RLP The Dairy,23842704091550024,1195.08
twl - West Midlands - Moreton-in-Marsh - RL Keatley Place,23842713554890024,1634.54
swl - West Midlands - Shrewsbury - RL Summerfield Place,23842713602340024,1035.75
twl - West Midlands - Stratford upon Avon - LL Orchard Gate,23842714228240024,1198.49
twl - Southern - Exeter - RL Pinnoc Mews,23842719715700024,1172.32
swl - South East - Henley-On-Thames - RLP Albert Court,23842736844340024,1641.79
swl - Southern - Worthing - RLP Neptune House,23842737517100024,1191.9
swl - South East - Virginia Water - RLP Augustus House,23842738219130024,1637.4
swl - South East - Maidenhead - RL Elgar Place,23842738312010024,1230.79
South East - Sanderstead - RL Atwood House,23842738312080024,1222.01
swl - South East - Warlingham - RL Langton House,23842739968020024,1227.92
swl - South East - Cobham - RL Holly Place,23842740313240024,1196.28
swl - South East - Walton-on-Thames - RLP Edward Place,23842740993000024,1241.67
new - North East - Pocklington - RL Rogerson Court,23842743728890024,1111.54
swl - North London - Hazlemere - RL Trinity Place,23842754058520024,1223.67
swl - West Midlands - Lichfield - RL Scott Place,23842815380890024,1197.85
swl - North London - Harrow - RLP Randolph House,23842862643770024,1212.25
swl - North London - Harrow - RL Rosen House,23842862680800024,1638.22
swl - North London - Farnham Common - RL Heathlands,23842865627550024,1203.75
twl - North East - Filey - RL Brigg Court,23842885567090024,1391.73
swl - North East - Ripon - RL Dawson Grange,23842893477850024,1188.29
twl - North East - Stannington - RL Flora Grange,23842898511640024,1228.91
twl - North East - Barnsley - RL Beckett Grange,23842898557060024,1193.79
twl - Scotland - Milngavie - RL Riverwood,23842922237050024,1208.08
twl - Scotland - Glasgow - RL Merchants Gate,23842925197200024,1255.89
swl - South East - Upper Norwood - RL Lewis House,23842991817690024,1198.19
swl - North London - Isleworth - RL Beck House,23843018616900024,1637.23
swl - North London - Colchester - RL Lancer House,23843019855370024,1196.27
