name,id,fb_id,fb_name,type,lat,lon
Hardwick Grange,a1s0O000002z57qQAA,23845858431200024,swl-upw - North West - Penwortham - RL Hardwick Grange,Retirement Living,53.74819,-2.72939
Harvard Place,a1s0O000002z4uuQAA,23845859271400024,swl-upw - West Midlands - Stratford upon Avon - RLP Harvard Place,Retirement Living Plus,52.17852,-1.70076
Hawkesbury Place,a1s0O000002z4uKQAQ,23845859206320024,swl-upw - West Midlands - Stow-on-the-Wold - RLP Hawkesbury Place,Retirement Living Plus,51.93029,-1.72085
Haworth Court,a1s0O000002z5AIQAY,23843932323210024,swl - North West - Chorley - RL Haworth Court,Retirement Living,53.7066315,-2.6393151
Heathlands,a1s0O000002z4uHQAQ,23842865627550024,swl - North London - Farnham Common - RL Heathlands,Retirement Living,51.5537547,-0.6149404
Herriot Gardens,a1s0O000002z5BHQAY,23845859073680024,twl-upw - North East - Sunderland - RLP Herriot Gardens,Retirement Living,54.89803,-1.37339
Hertford,a1s0O000002z583QAA,23842661423600024,swl - North London - Hertford - RLP Edward House,Lifestyle Living,51.79444,-0.0813799
Hewson Court,a1s0O000002mVqLQAU,23845443793340024,twl - North East - Hexham - RL Hewson Court,Retirement Living,54.9698,-2.09362
Holly Place,a1s0O000002z585QAA,23842740313240024,swl - South East - Cobham - RL Holly Place,Retirement Living,51.3282306,-0.4108518
Hook,a1s0O000002z58PQAQ,23845444480210024,twl - Southern - Hook RL,Retirement Living Plus,51.2787177,-0.9616863
Hook RL,a1s0O000002z58OQAQ,23845444480210024,twl - Southern - Hook RL,Retirement Living,51.2787177,-0.9616863
Island View,a1s0O000002z576QAA,23844032777250024,twl - Southern - Basingstoke - RL Island View,Retirement Living,51.2308707,-1.1448936
Jupiter House,a1s0O000002z5EFQAY,23843374033400024,twl - North London - Milton Keynes - RL Jupiter House,Retirement Living,52.0205073,-0.6920472
Keatley Place,a1s0O000002z4vyQAA,23842713554890024,twl - West Midlands - Moreton-in-Marsh - RL Keatley Place,Retirement Living,51.9909899,-1.70475
Keerford View,a1s0O000002z4vNQAQ,23844311460790024,swl - North West - Carnforth - RL Keerford View,Retirement Living,54.1236187,-2.773547
Lambrook Court,a1s0O000002z4vKQAQ,23845859299350024,swl-upw - Southern - Bath - RLP Lambrook Court,Retirement Living Plus,51.397492,-2.342062
Lancaster Court,a1s0O000002z5ATQAY,23845859073740024,twl-upw - North East - Cockermouth - RL Lancaster Court,Retirement Living,54.66767,-3.35817
Lancer House,a1s0O000002z5DLQAY,23843019855370024,swl - North London - Colchester - RL Lancer House,Retirement Living Plus,51.880396,0.888286
Langton House,a1s0O000002z4uQQAQ,23842739968020024,swl - South East - Warlingham - RL Langton House,Retirement Living,51.304488,-0.061449
Lewis House,a1s0O000002z5DNQAY,23842991817690024,swl - South East - Upper Norwood - RL Lewis House,Retirement Living,51.418858,-0.102862
Lichfield,a1s0O000002mbqOQAQ,23846262649940024,new - West Midlands - Lichfield - RLP Lichfield,Retirement Living Plus,52.68331,-1.82177
Lichfield,a1s0O000002mbqOQAQ,23842815380890024,swl - West Midlands - Lichfield - RL Scott Place,Retirement Living Plus,52.68331,-1.82177
Lido Grange,a1s0O000002z4vUQAQ,23845858430940024,swl-upw - North West - Prestatyn - RL Lido Grange,Retirement Living,53.33615,-3.4097
Linden Place,a1s0O000002z4umQAA,23844430267190024,swl-upw - West Midlands - Solihull - RL Linden Place,Retirement Living,52.41727,-1.75579
Lionheart Court,a1s0O000002z57WQAQ,23843993072260024,twl-upw - North London - Waltham Abbey - RL Lionheart Court,Retirement Living,51.68314,0.00222
Llanthony Place,a1s0O000002z57fQAA,23845859206400024,swl-upw - West Midlands - Gloucester - RLP Llanthony Place,Retirement Living Plus,51.85916,-2.25761
Llys Isan,a1s0O000002z5LqQAI,23844375871820024,swl-upw - Southern - Cardiff - RLP Llys Isan,Retirement Living Plus,51.5274815,-3.1897021
Loddon House,a1s0O000002z5DgQAI,23845859048010024,swl-upw - Southern - Reading - LL Loddon House,Retirement Living,51.4846,-0.8573
Lowe House,a1s0O000002z5DdQAI,23843992754980024,twl - North London - Knebworth - RLP Lowe House,Retirement Living Plus,51.8661071,-0.1838038
Lyme Wood Grange,a1s0O000002z5DaQAI,23844312993810024,swl-upw - North West - Audlem - RL Lyme Wood Grange,Retirement Living,52.98953,-2.50569
Magpie Court,a1s0O000002z5DXQAY,23842701920790024,swl - Southern - Hanham - RLP Magpie Court,Retirement Living Plus,51.45111,-2.519608
Manor Gardens,a1s0O000002z5DhQAI,23844399375700024,swl - East Midlands - Hadleigh - LL Manor Gardens,Lifestyle Living,52.045677,0.9519638
Market Drayton,a1s0O000002z5DkQAI,23846262704080024,new - West Midlands - Market Drayton - RLP Market Drayton,Retirement Living,52.90585,-2.47928
Melton Mowbray,a1s0O000002z5E8QAI,23846437282220024,twl-upw - East Midlands - Melton Mowbray - RL Pine Gardens,Retirement Living,52.78629,-0.88725
Merchants Gate,a1s0O000002z5E9QAI,23842925197200024,twl - Scotland - Glasgow - RL Merchants Gate,Retirement Living,55.8368039,-4.2904162
Miami House,a1s0O000002z4uNQAQ,23842661401140024,swl - North London - Chelmsford - RLP Miami House,Retirement Living Plus,51.7214267,0.4611841
Milward Place,a1s0O000002z5D1QAI,23845207348990024,fwl-upw - West Midlands - Redditch - RL Milward Place,Retirement Living,52.31074,-1.94294
Neptune House,a1s0O000002z5E2QAI,23842737517100024,swl - Southern - Worthing - RLP Neptune House,Retirement Living Plus,50.808782,-0.38399
Oakhill Place,a1s0O000002z586QAA,23843992178250024,fwl-upw - North London - Bedford - RL Oakhill Place,Retirement Living Plus,52.1486635,-0.4352866
Oakwood,a1s0O000002z5DvQAI,23846262585320024,new - North London - Oakwood - RL Samuel House,Retirement Living,51.6472928,-0.1361751
Orchard,a1s0O000002z5DxQAI,23842714228240024,twl - West Midlands - Stratford upon Avon - LL Orchard Gate,Retirement Living,52.61856,1.24771
Orchard Gate,a1s0O000002z4uzQAA,23842714228240024,twl - West Midlands - Stratford upon Avon - LL Orchard Gate,Lifestyle Living,52.16367,-1.65489
Pen Morvah,a1s0O000002z5OGQAY,23842689101120024,swl - Southern - Bude - RL Pen Morvah,Retirement Living,50.829031,-4.542273
Pinnoc Mews,a1s0O000002z5JKQAY,23842719715700024,twl - Southern - Exeter - RL Pinnoc Mews,Retirement Living,50.73473,-3.480035
Plas Glanrafon,a1s0O000002z4vDQAQ,23844311526370024,swl - North West - Benllech - RL Plas Glanrafon CONV,Retirement Living,53.32142,-4.22574
Portland Grange,a1s0O000002z4m3QAA,23844318929040024,swl-upw - North West - Leek - RL Portland Grange,Retirement Living,53.1068,-2.01733
Purley,a1s0O000002z5D7QAI,23845451060060024,twl - South East - Purley RL,Retirement Living,51.3383703,-0.117925
Purley,a1s0O000002z5D6QAI,23845451060060024,twl - South East - Purley RL,Retirement Living,51.339,-0.1222
Randolph House,a1s0O000002z4vVQAQ,23842862643770024,swl - North London - Harrow - RLP Randolph House,Retirement Living Plus,51.5810093,-0.3264638
Reading,a1s0O000002z5D3QAI,23845859048010024,swl-upw - Southern - Reading - LL Loddon House,Retirement Living,51.4506548,-0.9572378
Riverwood,a1s0O000002z4ukQAA,23842922237050024,twl - Scotland - Milngavie - RL Riverwood,Retirement Living,55.9396085,-4.3320404
Rogerson Court,a1s0O000002z4uYQAQ,23842743728890024,new - North East - Pocklington - RL Rogerson Court,Retirement Living,53.93132,-0.78321
